tag	name	vr	vm	is_retired
(0010,0012)	Name to Use	LT	1	false
(0010,0013)	Name to Use Comment	UT	1	false
(0010,0014)	Third Person Pronouns Sequence	SQ	1	false
(0010,0015)	Pronoun Code Sequence	SQ	1	false
(0010,0016)	Pronoun Comment	UT	1	false
(0010,0020)	Patient ID	LO	1	false
(0010,0021)	Issuer of Patient ID	LO	1	false
(0010,0022)	Type of Patient ID	CS	1	false
(0010,0024)	Issuer of Patient ID Qualifiers Sequence	SQ	1	false
(0010,0026)	Source Patient Group Identification Sequence	SQ	1	false
(0010,0027)	Group of Patients Identification Sequence	SQ	1	false
(0010,0028)	Subject Relative Position in Image	US	3	false
(0010,0030)	Patient&#x27;s Birth Date	DA	1	false
(0010,0032)	Patient&#x27;s Birth Time	TM	1	false
(0010,0033)	Patient&#x27;s Birth Date in Alternative Calendar	LO	1	false
(0010,0034)	Patient&#x27;s Death Date in Alternative Calendar	LO	1	false
(0010,0035)	Patient&#x27;s Alternative Calendar	CS	1	false
(0010,0040)	Patient&#x27;s Sex	CS	1	false
(0010,0041)	Gender Identity Sequence	SQ	1	false
(0010,0042)	Sex Parameters for Clinical Use Category Comment	UT	1	false
(0010,0043)	Sex Parameters for Clinical Use Category Sequence	SQ	1	false
(0010,0044)	Gender Identity Code Sequence	SQ	1	false
(0010,0045)	Gender Identity Comment	UT	1	false
(0010,0046)	Sex Parameters for Clinical Use Category Code Sequence	SQ	1	false
(0010,0047)	Sex Parameters for Clinical Use Category Reference	UR	1-n	false
(0010,0050)	Patient&#x27;s Insurance Plan Code Sequence	SQ	1	false
(0010,0101)	Patient&#x27;s Primary Language Code Sequence	SQ	1	false
(0010,0102)	Patient&#x27;s Primary Language Modifier Code Sequence	SQ	1	false
(0010,0200)	Quality Control Subject	CS	1	false
(0010,0201)	Quality Control Subject Type Code Sequence	SQ	1	false
(0010,0212)	Strain Description	UC	1	false
(0010,0213)	Strain Nomenclature	LO	1	false
(0010,0214)	Strain Stock Number	LO	1	false
(0010,0215)	Strain Source Registry Code Sequence	SQ	1	false
(0010,0216)	Strain Stock Sequence	SQ	1	false
(0010,0217)	Strain Source	LO	1	false
(0010,0218)	Strain Additional Information	UT	1	false
(0010,0219)	Strain Code Sequence	SQ	1	false
(0010,0221)	Genetic Modifications Sequence	SQ	1	false
(0010,0222)	Genetic Modifications Description	UC	1	false
(0010,0223)	Genetic Modifications Nomenclature	LO	1	false
(0010,0229)	Genetic Modifications Code Sequence	SQ	1	false
(0010,1000)	Other Patient IDs	LO	1-n	true
(0010,1001)	Other Patient Names	PN	1-n	false
(0010,1002)	Other Patient IDs Sequence	SQ	1	false
(0010,1005)	Patient&#x27;s Birth Name	PN	1	false
(0010,1010)	Patient&#x27;s Age	AS	1	false
(0010,1020)	Patient&#x27;s Size	DS	1	false
(0010,1021)	Patient&#x27;s Size Code Sequence	SQ	1	false
(0010,1022)	Patient&#x27;s Body Mass Index	DS	1	false
(0010,1023)	Measured AP Dimension	DS	1	false
(0010,1024)	Measured Lateral Dimension	DS	1	false
(0010,1030)	Patient&#x27;s Weight	DS	1	false
(0010,1040)	Patient&#x27;s Address	LO	1	false
(0010,1050)	Insurance Plan Identification	LO	1-n	true
(0010,1060)	Patient&#x27;s Mother&#x27;s Birth Name	PN	1	false
(0010,1080)	Military Rank	LO	1	false
(0010,1081)	Branch of Service	LO	1	false
(0010,1090)	Medical Record Locator	LO	1	true
(0010,1100)	Referenced Patient Photo Sequence	SQ	1	false
(0010,2000)	Medical Alerts	LO	1-n	false
(0010,2110)	Allergies	LO	1-n	false
(0010,2150)	Country of Residence	LO	1	false
(0010,2152)	Region of Residence	LO	1	false
(0010,2154)	Patient&#x27;s Telephone Numbers	SH	1-n	false
(0010,2155)	Patient&#x27;s Telecom Information	LT	1	false
(0010,2160)	Ethnic Group	SH	1	true
